diag;niv;libell
M9020;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Sièges multiples                                                                                                                                                                                                                    
M9021;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Région scapulaire                                                                                                                                                                                                                   
M9022;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Bras                                                                                                                                                                                                                                
M9023;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Avant-bras                                                                                                                                                                                                                          
M9024;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Main                                                                                                                                                                                                                                
M9025;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Région pelvienne et cuisse                                                                                                                                                                                                          
M9026;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Jambe                                                                                                                                                                                                                               
M9027;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Cheville et pied                                                                                                                                                                                                                    
M9028;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Autres localisations                                                                                                                                                                                                                
M9029;2;Ostéopathie au cours d'autres maladies infectieuses classées ailleurs - Siège non précisé                                                                                                                                                                                                                   
M903;2;Ostéonécrose de la maladie des caissons (T70.3)                                                                                                                                                                                                                                                             
M9030;2;Ostéonécrose de la maladie des caissons (T70.3) - Sièges multiples                                                                                                                                                                                                                                          
M9031;2;Ostéonécrose de la maladie des caissons (T70.3) - Région scapulaire                                                                                                                                                                                                                                         
M9032;2;Ostéonécrose de la maladie des caissons (T70.3) - Bras                                                                                                                                                                                                                                                      
M9033;2;Ostéonécrose de la maladie des caissons (T70.3) - Avant-bras                                                                                                                                                                                                                                                
M9034;2;Ostéonécrose de la maladie des caissons (T70.3) - Main                                                                                                                                                                                                                                                      
M9035;2;Ostéonécrose de la maladie des caissons (T70.3) - Région pelvienne et cuisse                                                                                                                                                                                                                                
M9036;2;Ostéonécrose de la maladie des caissons (T70.3) - Jambe                                                                                                                                                                                                                                                     
M9037;2;Ostéonécrose de la maladie des caissons (T70.3) - Cheville et pied                                                                                                                                                                                                                                          
M9038;2;Ostéonécrose de la maladie des caissons (T70.3) - Autres localisations                                                                                                                                                                                                                                      
M9039;2;Ostéonécrose de la maladie des caissons (T70.3) - Siège non précisé                                                                                                                                                                                                                                         
M904;2;Ostéonécrose due à une hémoglobinopathie (D50-D64)                                                                                                                                                                                                                                                          
M9040;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Sièges multiples                                                                                                                                                                                                                                       
M9041;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Région scapulaire                                                                                                                                                                                                                                      
M9042;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Bras                                                                                                                                                                                                                                                   
M9043;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Avant-bras                                                                                                                                                                                                                                             
M9044;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Main                                                                                                                                                                                                                                                   
M9045;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Région pelvienne et cuisse                                                                                                                                                                                                                             
M9046;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Jambe                                                                                                                                                                                                                                                  
M9047;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Cheville et pied                                                                                                                                                                                                                                       
M9048;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Autres localisations                                                                                                                                                                                                                                   
M9049;2;Ostéonécrose due à une hémoglobinopathie (D50-D64) - Siège non précisé                                                                                                                                                                                                                                      
M906;3;Ostéite déformante au cours de maladies tumorales (C00-D48)                                                                                                                                                                                                                                                 
M9060;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Sièges multiples                                                                                                                                                                                                                              
M9061;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Région scapulaire                                                                                                                                                                                                                             
M9062;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Bras                                                                                                                                                                                                                                          
M9063;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Avant-bras                                                                                                                                                                                                                                    
M9064;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Main                                                                                                                                                                                                                                          
M9065;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Région pelvienne et cuisse                                                                                                                                                                                                                    
M9066;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Jambe                                                                                                                                                                                                                                         
M9067;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Cheville et pied                                                                                                                                                                                                                              
M9068;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Autres localisations                                                                                                                                                                                                                          
M9069;3;Ostéite déformante au cours de maladies tumorales (C00-D48) - Siège non précisé                                                                                                                                                                                                                             
M907;3;Fracture osseuse au cours de maladies tumorales (C00-D48)                                                                                                                                                                                                                                                   
M9070;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Sièges multiples                                                                                                                                                                                                                                
M9071;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Région scapulaire                                                                                                                                                                                                                               
M9072;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Bras                                                                                                                                                                                                                                            
M9073;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Avant-bras                                                                                                                                                                                                                                      
M9074;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Main                                                                                                                                                                                                                                            
M9075;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Région pelvienne et cuisse                                                                                                                                                                                                                      
M9076;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Jambe                                                                                                                                                                                                                                           
M9077;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Cheville et pied                                                                                                                                                                                                                                
M9078;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Autres localisations                                                                                                                                                                                                                            
M9079;3;Fracture osseuse au cours de maladies tumorales (C00-D48) - Siège non précisé                                                                                                                                                                                                                               
M960;2;Pseudarthrose après arthrodèse                                                                                                                                                                                                                                                                              
M961;2;Syndrome post-laminectomie, non classé ailleurs                                                                                                                                                                                                                                                             
M962;2;Cyphose après irradiation                                                                                                                                                                                                                                                                                   
M963;2;Cyphose après laminectomie                                                                                                                                                                                                                                                                                  
M964;2;Lordose après chirurgie                                                                                                                                                                                                                                                                                     
M965;2;Scoliose après irradiation                                                                                                                                                                                                                                                                                  
M966;3;Fracture osseuse après mise en place d'un implant, d'une prothèse articulaire ou d'une plaque d'ostéosynthèse                                                                                                                                                                                               
M991;2;Subluxation complexe (vertébrale)                                                                                                                                                                                                                                                                           
M9910;2;Subluxation complexe (vertébrale) - Tête ou occipito-cervicale                                                                                                                                                                                                                                              
M9911;2;Subluxation complexe (vertébrale) - Région cervicale/Cervico-thoracique                                                                                                                                                                                                                                     
M9912;2;Subluxation complexe (vertébrale) - Région thoracique/Thoraco-lombaire                                                                                                                                                                                                                                      
M9913;2;Subluxation complexe (vertébrale) - Région lombaire/Lombo-sacrée                                                                                                                                                                                                                                            
M9914;2;Subluxation complexe (vertébrale) - Région sacrée/Sacro-coccygienne, sacro-iliaque                                                                                                                                                                                                                          
M9915;2;Subluxation complexe (vertébrale) - Région pelvienne/Hanche, pubis                                                                                                                                                                                                                                          
M9916;2;Subluxation complexe (vertébrale) - Membre inférieur                                                                                                                                                                                                                                                        
M9917;2;Subluxation complexe (vertébrale) - Membre supérieur/Acromio-claviculaire, sterno-claviculaire                                                                                                                                                                                                              
M9918;2;Subluxation complexe (vertébrale) - Cage thoracique/Costo-chondrale, costo-vertébrale, sterno-chondrale                                                                                                                                                                                                     
M9919;2;Subluxation complexe (vertébrale) - Abdomen et autre                                                                                                                                                                                                                                                        
M992;2;Rétrécissement du canal rachidien par subluxation                                                                                                                                                                                                                                                           
M9920;2;Rétrécissement du canal rachidien par subluxation - Occipito-cervicale                                                                                                                                                                                                                                      
M9921;2;Rétrécissement du canal rachidien par subluxation - Cervico-thoracique                                                                                                                                                                                                                                      
M9922;2;Rétrécissement du canal rachidien par subluxation - Thoraco-lombaire                                                                                                                                                                                                                                        
M9923;2;Rétrécissement du canal rachidien par subluxation - Lombo-sacrée                                                                                                                                                                                                                                            
M9924;2;Rétrécissement du canal rachidien par subluxation - Sacro-coccygienne, sacro-iliaque                                                                                                                                                                                                                        
M993;2;Rétrécissement osseux du canal rachidien                                                                                                                                                                                                                                                                    
M9930;2;Rétrécissement osseux du canal rachidien - Occipito-cervicale                                                                                                                                                                                                                                               
M9931;2;Rétrécissement osseux du canal rachidien - Cervico-thoracique                                                                                                                                                                                                                                               
M9932;2;Rétrécissement osseux du canal rachidien - Thoraco-lombaire                                                                                                                                                                                                                                                 
M9933;2;Rétrécissement osseux du canal rachidien - Lombo-sacrée                                                                                                                                                                                                                                                     
M9934;2;Rétrécissement osseux du canal rachidien - Sacro-coccygienne, sacro-iliaque                                                                                                                                                                                                                                 
M994;2;Rétrécissement du canal rachidien par tissu conjonctif                                                                                                                                                                                                                                                      
M9940;2;Rétrécissement du canal rachidien par tissu conjonctif - Occipito-cervicale                                                                                                                                                                                                                                 
M9941;2;Rétrécissement du canal rachidien par tissu conjonctif - Cervico-thoracique                                                                                                                                                                                                                                 
M9942;2;Rétrécissement du canal rachidien par tissu conjonctif - Thoraco-lombaire                                                                                                                                                                                                                                   
M9943;2;Rétrécissement du canal rachidien par tissu conjonctif - Lombo-sacrée                                                                                                                                                                                                                                       
M9944;2;Rétrécissement du canal rachidien par tissu conjonctif - Sacro-coccygienne, sacro-iliaque                                                                                                                                                                                                                   
M995;2;Rétrécissement du canal rachidien par lésion discale                                                                                                                                                                                                                                                        
M9951;2;Rétrécissement du canal rachidien par lésion discale - Cervico-thoracique                                                                                                                                                                                                                                   
M9952;2;Rétrécissement du canal rachidien par lésion discale - Thoraco-lombaire                                                                                                                                                                                                                                     
M9953;2;Rétrécissement du canal rachidien par lésion discale - Lombo-sacrée                                                                                                                                                                                                                                         
M996;2;Rétrécissement des espaces intervertébraux par ossification et subluxation                                                                                                                                                                                                                                  
M9960;2;Rétrécissement des espaces intervertébraux par ossification et subluxation - Occipito-cervicale                                                                                                                                                                                                             
M9961;2;Rétrécissement des espaces intervertébraux par ossification et subluxation - Cervico-thoracique                                                                                                                                                                                                             
M9962;2;Rétrécissement des espaces intervertébraux par ossification et subluxation - Thoraco-lombaire                                                                                                                                                                                                               
M9963;2;Rétrécissement des espaces intervertébraux par ossification et subluxation - Lombo-sacrée                                                                                                                                                                                                                   
M997;2;Rétrécissement des espaces intervertébraux par tissu conjonctif et discal                                                                                                                                                                                                                                   
M9971;2;Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - Cervico-thoracique                                                                                                                                                                                                              
M9972;2;Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - Thoraco-lombaire                                                                                                                                                                                                                
M9973;2;Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - Lombo-sacrée                                                                                                                                                                                                                    
N080;2;Glomérulopathie au cours de maladies infectieuses et parasitaires classées ailleurs                                                                                                                                                                                                                         
N081;2;Glomérulopathie au cours de maladies tumorales                                                                                                                                                                                                                                                              
N083;2;Glomérulopathie au cours du diabète sucré (E10-E14 avec le quatrième chiffre .2)                                                                                                                                                                                                                            
N10;2;Néphrite tubulo-interstitielle aiguë                                                                                                                                                                                                                                                                        
N110;2;Pyélonéphrite (non obstructive chronique) associée à un reflux                                                                                                                                                                                                                                              
N111;2;Pyélonéphrite obstructive (chronique)                                                                                                                                                                                                                                                                       
N130;2;Hydronéphrose avec obstruction de la jonction pyélo-urétérale                                                                                                                                                                                                                                               
N131;2;Hydronéphrose avec rétrécissement urétéral, non classée ailleurs                                                                                                                                                                                                                                            
N132;2;Hydronéphrose avec obstruction calculeuse rénale et urétérale                                                                                                                                                                                                                                               
N133;2;Hydronéphroses, autres et sans précision                                                                                                                                                                                                                                                                    
N134;2;Hydro-uretère                                                                                                                                                                                                                                                                                               
N136;3;Pyonéphrose                                                                                                                                                                                                                                                                                                 
N140;2;Néphropathie due à un analgésique                                                                                                                                                                                                                                                                           
N141;2;Néphropathie due à d'autres médicaments et substances biologiques                                                                                                                                                                                                                                           
N142;2;Néphropathie due à un médicament ou une substance biologique, sans précision                                                                                                                                                                                                                                
N143;2;Néphropathie due à des métaux lourds                                                                                                                                                                                                                                                                        
N144;2;Néphropathie toxique, non classée ailleurs                                                                                                                                                                                                                                                                  
N150;2;Néphropathie des Balkans                                                                                                                                                                                                                                                                                    
N151;2;Abcès rénal et périrénal                                                                                                                                                                                                                                                                                    
N170;4;Insuffisance rénale aiguë avec nécrose tubulaire                                                                                                                                                                                                                                                            
N171;4;Insuffisance rénale aiguë avec nécrose corticale aiguë                                                                                                                                                                                                                                                      
N172;4;Insuffisance rénale aiguë avec nécrose médullaire                                                                                                                                                                                                                                                           
N178;3;Autres insuffisances rénales aiguës                                                                                                                                                                                                                                                                         
N179;3;Insuffisance rénale aiguë, sans précision                                                                                                                                                                                                                                                                   
N251;2;Diabète insipide néphrogénique                                                                                                                                                                                                                                                                              
N258;2;Autres affections dues à une tubulopathie                                                                                                                                                                                                                                                                   
N259;2;Affection due à un tubulopathie, sans précision                                                                                                                                                                                                                                                             
N280;2;Ischémie et infarctus du rein                                                                                                                                                                                                                                                                               
N300;2;Cystite aiguë                                                                                                                                                                                                                                                                                               
N312;2;Vessie neurogène flasque (périphérique), non classée ailleurs                                                                                                                                                                                                                                               
N321;3;Fistule vésico-intestinale                                                                                                                                                                                                                                                                                  
N322;3;Fistule vésicale, non classée ailleurs                                                                                                                                                                                                                                                                      
N324;3;Rupture de la vessie, non traumatique                                                                                                                                                                                                                                                                       
N330;2;Cystite tuberculeuse (A18.1)                                                                                                                                                                                                                                                                                
N340;3;Abcès urétral                                                                                                                                                                                                                                                                                               
N360;3;Fistule urétrale                                                                                                                                                                                                                                                                                            
N410;3;Prostatite aiguë                                                                                                                                                                                                                                                                                            
N412;3;Abcès de la prostate                                                                                                                                                                                                                                                                                        
N413;3;Prostato-cystite                                                                                                                                                                                                                                                                                            
N418;2;Autres affections inflammatoires de la prostate                                                                                                                                                                                                                                                             
N419;2;Affection inflammatoire de la prostate, sans précision                                                                                                                                                                                                                                                      
N431;2;Hydrocèle infectée                                                                                                                                                                                                                                                                                          
